Sex,score,label_value,rank_abs,rank_pct,binary_score,binary_fpr,binary_fnr,binary_ppr,binary_fdr,binary_tpr,binary_tnr,binary_npv,binary_pprev,binary_precision,binary_for
female,1.0,1,1,0.001,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,2,0.002,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,3,0.003,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,4,0.004,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,5,0.005,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,6,0.006,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,7,0.007,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,8,0.008,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,9,0.009,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,10,0.01,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,11,0.011,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,12,0.012,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,13,0.013,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,14,0.014,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,15,0.015,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,16,0.016,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,17,0.017,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,18,0.018,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,19,0.019,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,20,0.02,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,21,0.021,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,22,0.022,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,23,0.023,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,24,0.024,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,25,0.025,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,26,0.026,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,27,0.027,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,28,0.028,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,29,0.029,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,30,0.03,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,31,0.031,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,32,0.032,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,33,0.033,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,34,0.034,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,35,0.035,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,36,0.036,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,37,0.037,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,38,0.038,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,39,0.039,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,40,0.04,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,41,0.041,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,42,0.042,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,43,0.043,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,44,0.044,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,45,0.045,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,46,0.046,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,47,0.047,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,48,0.048,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,49,0.049,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,50,0.05,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,51,0.051,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,52,0.052,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,53,0.053,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,54,0.054,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,55,0.055,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,56,0.056,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,57,0.057,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,58,0.058,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,59,0.059,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,60,0.06,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,61,0.061,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,62,0.062,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,63,0.063,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,64,0.064,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,65,0.065,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,66,0.066,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,67,0.067,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,68,0.068,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,69,0.069,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,70,0.07,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,71,0.071,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,72,0.072,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,73,0.073,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,74,0.074,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,75,0.075,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,76,0.076,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,77,0.077,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,78,0.078,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,79,0.079,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,80,0.08,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,81,0.081,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,82,0.082,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,83,0.083,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,84,0.084,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,85,0.085,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,86,0.086,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,87,0.087,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,88,0.088,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,89,0.089,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,90,0.09,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,91,0.091,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,92,0.092,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,93,0.093,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,94,0.094,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,95,0.095,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,96,0.096,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,97,0.097,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,98,0.098,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,99,0.099,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,100,0.1,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,101,0.101,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,102,0.102,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,103,0.103,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,104,0.104,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,105,0.105,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,106,0.106,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,107,0.107,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,108,0.108,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,109,0.109,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,110,0.11,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,111,0.111,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,112,0.112,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,113,0.113,1,1.0,,1,1.0,,1.0,,1,1.0,
