Sex,Prob_default,Predicted_default,Realised_default
male,0.0851093307907675,0,0
female,0.6212785083167929,1,1
male,0.072370082920455,0,0
male,0.6508761843256927,1,0
male,0.5067238718709829,1,1
male,0.24449355630450464,1,0
male,0.07560953129907198,0,0
male,0.6924473642639346,1,0
male,0.026503864640338888,0,0
male,0.5532097033376805,1,1
female,0.5757057526084529,1,1
female,0.7959414793784341,1,1
female,0.3266336697701186,1,0
male,0.25614041930186016,1,1
female,0.5893461721026262,1,0
female,0.2773754573853779,1,1
male,0.0391475184408175,0,0
male,0.4760107964107536,1,0
female,0.5634081309008274,1,1
male,0.09844645536650289,0,0
male,0.0809097453476328,0,0
male,0.2260178632378562,0,0
male,0.33249981060095296,1,0
male,0.29737653562783245,1,0
male,0.0775481088897961,0,0
male,0.21265276523241627,0,0
male,0.035244876537833716,0,0
female,0.20067878009661153,0,0
male,0.25209220434456997,1,0
male,0.6144618793004514,1,1
male,0.2930861754638582,1,0
male,0.5074946387867919,1,0
male,0.48839611274318906,1,0
male,0.044814066214789026,0,0
female,0.27395032762659033,1,0
male,0.49578988237265764,1,1
male,0.5141503577933154,1,0
male,0.2205975101127505,0,1
male,0.26455011135775414,1,0
male,0.29083687372026357,1,0
male,0.09539524619645967,0,0
male,0.25825983763247107,1,0
male,0.2983803698026761,1,0
male,0.7254191424004496,1,0
female,0.5891093762594303,1,1
female,0.10753218636751372,0,0
male,0.09355301495470955,0,0
female,0.43035702952196997,1,0
male,0.0884704297872294,0,0
female,0.08312609638217101,0,0
male,0.2805589065046288,1,0
male,0.527210090505395,1,0
male,0.09223325957497322,0,0
male,0.10994509669814759,0,0
male,0.5463285507924586,1,1
male,0.05982717377983439,0,0
male,0.1089746068487007,0,1
female,0.19591301150403984,0,0
female,0.40821429856835456,1,0
female,0.6741634547241881,1,1
male,0.38091535940891375,1,0
male,0.12508091269182867,0,0
male,0.47777877132903074,1,1
male,0.7612246975990509,1,1
female,0.1317912479499493,0,0
male,0.08287912466386753,0,0
female,0.08809925059298207,0,0
male,0.3933693907678639,1,0
male,0.3144469357006006,1,1
female,0.11264947600584364,0,0
female,0.30035864970633386,1,0
male,0.03117565741834166,0,0
male,0.29635406365279365,1,0
female,0.45852481070573464,1,0
male,0.36663894613656517,1,1
male,0.3246362830924841,1,0
male,0.507144370761025,1,1
male,0.19075721965606807,0,0
male,0.18105955547776645,0,0
male,0.5692822031007956,1,0
female,0.05234944375839803,0,1
male,0.04333646128209868,0,0
female,0.17655730314506402,0,0
female,0.24209982231677205,1,0
male,0.1329487486819501,0,0
female,0.10679733451225654,0,0
female,0.4338494639523875,1,0
male,0.6895636053443563,1,1
male,0.4154223638316592,1,0
male,0.41912529319421893,1,1
male,0.0410295274982887,0,0
male,0.2744372176433215,1,0
female,0.03508733821534763,0,1
male,0.4729054236091668,1,0
male,0.21658376572372529,0,0
male,0.7330281882682339,1,1
female,0.05550130982344478,0,0
male,0.40135539709452867,1,0
male,0.382010392880814,1,0
male,0.3969668459333774,1,0
male,0.1465388095626745,0,0
male,0.6171725929634208,1,0
female,0.07903147946667323,0,0
male,0.4573506340649502,1,0
male,0.15506878343380023,0,0
male,0.4246088844337828,1,1
male,0.11644017069799163,0,1
male,0.4557774941788067,1,0
female,0.3935872497326636,1,0
male,0.32391427819716995,1,0
male,0.32412973621369906,1,0
female,0.5787070583555705,1,0
male,0.5676240469064989,1,0
female,0.32014107429847755,1,1
male,0.23216405218618932,0,0
male,0.08895124143640923,0,0
female,0.3767603052640917,1,1
female,0.38359518295911244,1,0
female,0.5378271095716233,1,1
male,0.263424639479642,1,0
female,0.38133682691621174,1,1
female,0.18627452970333985,0,0
male,0.1578164959559224,0,0
male,0.30918605559122053,1,0
female,0.4332155571852256,1,1
male,0.4383638134166094,1,0
male,0.16432526191311098,0,0
male,0.3994224656023108,1,1
male,0.3638801837902807,1,0
female,0.4550983736924576,1,1
female,0.6475727456220993,1,0
male,0.6857540493735773,1,1
male,0.10731855248250037,0,0
male,0.13605052064311268,0,0
female,0.3642860466491755,1,0
female,0.035878812435276554,0,0
male,0.2107153159563827,0,0
male,0.09595527175253836,0,1
male,0.19973907000982905,0,0
female,0.19673383622901375,0,0
male,0.23485855037011996,0,0
female,0.4354898199581351,1,0
male,0.38036401566299544,1,0
male,0.4751495033786389,1,1
female,0.17465262027403128,0,0
male,0.6465996418638711,1,0
female,0.29670785102966785,1,0
female,0.07359748790449161,0,0
male,0.6015513458480406,1,0
male,0.04643297418182763,0,0
male,0.0694230270440838,0,0
male,0.05738820628833783,0,0
male,0.4690391858806805,1,0
female,0.6261390867700246,1,0
male,0.4961385213311481,1,0
female,0.5564444642217666,1,1
male,0.2482205818936503,1,0
male,0.2663118476083133,1,0
male,0.41999441761702855,1,0
male,0.0300382774650279,0,0
male,0.08388109545868776,0,0
female,0.16485257086562055,0,0
male,0.086175068508727,0,0
male,0.3319077046288118,1,0
male,0.15945655320505095,0,0
male,0.08364433946590327,0,0
female,0.40863598496517156,1,1
female,0.35273218251498284,1,0
female,0.2802789763463193,1,0
male,0.47411478106645644,1,1
male,0.5606249040310848,1,1
female,0.12635833948484324,0,0
female,0.4012695544697996,1,1
male,0.25506363612468924,1,0
male,0.5688958448251134,1,1
female,0.07950569824208195,0,1
male,0.29072068403858753,1,0
male,0.12160153031606255,0,0
male,0.11138435769146976,0,0
male,0.31296605322658316,1,0
male,0.28581621313927796,1,1
male,0.5408269289124,1,1
male,0.22101000612677754,0,1
male,0.07872413193888245,0,0
male,0.3847055453369471,1,1
male,0.08974738179846621,0,0
female,0.29200731865962093,1,1
male,0.3241494775253551,1,0
male,0.3166333819660014,1,1
female,0.42027099257098804,1,0
male,0.0650778378164125,0,1
male,0.6716671500408696,1,1
male,0.4356115799211114,1,1
male,0.11781425647990244,0,0
male,0.6790644077477275,1,1
female,0.3710516368809635,1,1
female,0.0743481773091105,0,0
female,0.49184621460614136,1,1
male,0.43747766942159133,1,0
male,0.30275133138811827,1,1
male,0.06558652141971065,0,0
male,0.36828860762413684,1,0
male,0.21502139725529124,0,0
male,0.6294967580977368,1,1
male,0.0773277564731646,0,0
male,0.6254741372832319,1,0
male,0.07940429741893033,0,0
male,0.424854121966876,1,0
male,0.4909527739955827,1,0
male,0.05762942748082878,0,0
male,0.04721106117560356,0,0
female,0.049590267863238266,0,0
male,0.38397425431486853,1,1
male,0.2510394464235092,1,1
male,0.05884557050503451,0,0
female,0.16779625605724857,0,0
male,0.44599068991943014,1,0
male,0.45759356168326687,1,0
male,0.559852374845287,1,0
female,0.07036443320018844,0,0
male,0.23909464095331714,1,0
female,0.49284704091467274,1,0
male,0.08258489877498593,0,0
male,0.10833491473087606,0,0
male,0.16968218594998147,0,0
male,0.25759852816704637,1,0
male,0.5693595195434261,1,1
male,0.34832202197419787,1,1
male,0.09054188568228161,0,1
male,0.6470301813010544,1,0
male,0.44496284417529075,1,1
male,0.0737332943264214,0,0
male,0.07302715487682249,0,0
male,0.2786862585582405,1,0
male,0.03255570881456591,0,0
male,0.33338919063832595,1,1
male,0.3434890805110616,1,1
male,0.32933314378927464,1,1
female,0.07658381432345765,0,0
male,0.33419670258324313,1,0
female,0.3915177737791332,1,1
male,0.039392195732630086,0,0
male,0.822258798971457,1,1
female,0.13064332581679836,0,0
female,0.09583055038022953,0,0
male,0.1830227311484718,0,0
male,0.04450789149613674,0,0
male,0.16082761256365027,0,0
male,0.43418082432745997,1,0
female,0.1719294141162224,0,1
female,0.18608225175529294,0,0
female,0.17534565423647971,0,0
female,0.5950689741658682,1,1
male,0.1511692413227628,0,0
male,0.273925299081214,1,0
male,0.487741733723279,1,0
male,0.08270525918592683,0,0
male,0.4212211326086381,1,1
female,0.17441447276660785,0,0
female,0.027012744167343113,0,0
male,0.39960309892131746,1,0
female,0.22701574346560757,0,0
male,0.5037490203277402,1,0
female,0.10085584452447274,0,0
male,0.09842213764085721,0,0
male,0.23557830122986084,0,1
male,0.1267917016022105,0,0
female,0.08340627026837048,0,0
male,0.33961846420897224,1,1
male,0.0781448098644074,0,0
male,0.10561963097188155,0,0
female,0.11121768564660901,0,0
male,0.6429038156754575,1,0
male,0.5679046479353744,1,1
male,0.5346485847421044,1,1
male,0.07804523627178402,0,0
female,0.11008480250230916,0,0
male,0.12695017830259683,0,0
female,0.1089187147848141,0,1
male,0.14646337968478984,0,0
male,0.21906289702095827,0,0
male,0.06877381957680584,0,0
male,0.08487733715149531,0,0
male,0.04149846748239094,0,0
male,0.42804596541997336,1,0
female,0.6600422371481834,1,0
male,0.7297358507251271,1,0
male,0.74180713057355,1,0
female,0.1822853294450016,0,0
male,0.24930883521471592,1,1
male,0.13254716905826858,0,0
male,0.7385640530309552,1,1
female,0.5170217215090729,1,0
male,0.5631206600300246,1,0
male,0.1269968773943111,0,0
female,0.7194355469321532,1,1
female,0.18296164146314592,0,0
male,0.03854556687640751,0,0
male,0.0951280211183703,0,0
male,0.37399038238510374,1,0
female,0.05065851612007483,0,0
female,0.3651521937798586,1,1
male,0.20371063187351068,0,1
male,0.28044012663439877,1,0
male,0.3431878862691833,1,1
male,0.07493051696416969,0,0
female,0.20429855172873454,0,0
male,0.20538920816500728,0,1
female,0.37669762045579536,1,1
male,0.4805473695780313,1,0
male,0.523716108327727,1,0
male,0.1862227073105874,0,0
female,0.44962405611880285,1,0
male,0.3682006112668874,1,1
male,0.17109889644244658,0,0
male,0.5647842034211938,1,1
male,0.23242047998177678,0,0
female,0.1868864179057597,0,0
male,0.1517001870846624,0,0
female,0.3611932271909151,1,0
male,0.5448366426795492,1,1
male,0.3695459342494631,1,1
male,0.5895197308645821,1,0
male,0.37733584621028304,1,0
female,0.12387708667747879,0,0
male,0.2617666470516657,1,0
male,0.07839711738490639,0,0
female,0.1423653609184009,0,0
male,0.4221322695319633,1,0
male,0.2609605987677667,1,0
male,0.4048071240922911,1,0
female,0.17607196923760282,0,1
female,0.7648115383713461,1,1
female,0.4637079297695363,1,1
male,0.6499005793155445,1,1
male,0.31547744665774413,1,1
female,0.2657872670622238,1,0
female,0.4556734376962115,1,1
male,0.5036734618589288,1,0
male,0.2895492263924598,1,0
female,0.7244071557106843,1,0
female,0.5326062070802394,1,0
male,0.42992225324144623,1,0
male,0.39363924929867805,1,0
male,0.23848118372259725,1,0
female,0.04357497888111973,0,0
male,0.3235058599168308,1,0
female,0.42955272956134516,1,0
male,0.0692829625648462,0,0
male,0.47859729006272517,1,1
female,0.21003178212129942,0,0
female,0.35767239215514723,1,1
male,0.06628919913806265,0,0
male,0.4605047243795807,1,1
male,0.11839431951612076,0,0
male,0.4690626353292546,1,1
male,0.029943611414182832,0,0
male,0.15698769856803219,0,1
male,0.08591543770385243,0,0
female,0.6765767081386979,1,1
male,0.3346246339870396,1,0
male,0.1072388788751691,0,0
female,0.30587392692466586,1,0
male,0.18676577514365966,0,0
male,0.40147507410582983,1,1
male,0.09304872209496072,0,0
male,0.18764454493145008,0,0
female,0.6095035648062309,1,0
male,0.462542917080933,1,1
female,0.4553152720683735,1,0
male,0.13239551951341416,0,0
male,0.10843512645441619,0,0
female,0.20096643674234108,0,0
male,0.2948802226330183,1,0
female,0.7019425708230834,1,1
female,0.7313559015876426,1,1
male,0.0948350784851009,0,0
male,0.051750102238863574,0,0
male,0.5999966696717517,1,1
female,0.044688539512709936,0,0
male,0.24342437179793888,1,0
female,0.5530654939966265,1,1
female,0.1949381145995875,0,0
male,0.392546190223784,1,0
male,0.1630417739152704,0,0
female,0.11153348017583187,0,0
female,0.11345575451578045,0,0
male,0.32550483096878685,1,0
male,0.37483986213640896,1,0
female,0.12183024306271249,0,0
male,0.14284253550725776,0,0
female,0.4028258551750014,1,0
male,0.6028272696056445,1,0
female,0.25978878801064414,1,0
male,0.09417167765188131,0,0
male,0.7980537773244378,1,0
female,0.29969572625215063,1,0
male,0.4330503025255125,1,0
